market,date,open_interest,commercial_long,commercial_short,large_spec_long,large_spec_short,small_spec_long,small_spec_short,top4_long,top4_short,top8_long,top8_short,commercial_net,large_spec_net,small_spec_net,commercial_net_pct,large_spec_net_pct,small_spec_net_pct,commercial_ls_ratio,small_spec_ls_ratio,divergence,large_spec_divergence,commercial_net_pct_percentile,small_spec_net_pct_percentile,large_spec_net_pct_percentile,divergence_percentile,commercial_extreme_long,commercial_extreme_short,small_spec_extreme_long,small_spec_extreme_short,divergence_extreme_bullish,divergence_extreme_bearish
10Y NOTES,2023-07-18,4746657,3828697,3201689,438567,1068128,382073,379520,28.1,23.6,42.3,35.0,627008,-629561,2553,0.13209465103545506,-0.13263250325439568,0.0005378522189406145,1.1958366349761016,1.006726918212479,0.13155679881651444,0.2647271542898507,42.30769230769231,3.8461538461538463,77.56410256410257,69.23076923076923,False,False,False,True,False,False
10Y NOTES,2023-07-25,4733680,3792947,3193111,443907,1067678,402493,378558,28.4,23.5,42.1,34.8,599836,-623771,23935,0.12671663483801188,-0.13177295465684202,0.00505631981883017,1.1878531626366888,1.0632267710628227,0.1216603150191817,0.2584895894948539,35.256410256410255,13.461538461538462,78.84615384615384,51.28205128205128,False,False,False,False,False,False
10Y NOTES,2023-08-01,4830156,3864332,3214111,469492,1114678,396367,401402,28.1,21.9,41.9,33.2,650221,-645186,-5035,0.1346169771742362,-0.1335745677779351,-0.0010424093963010718,1.2023019740139653,0.9874564650898601,0.13565938657053728,0.26819154495217135,47.43589743589743,1.282051282051282,74.35897435897436,74.35897435897436,False,False,False,True,False,False
10Y NOTES,2023-08-08,4872433,3810443,3136890,524694,1216420,415794,397621,27.3,20.9,40.1,32.1,673553,-691726,18173,0.13823750885851072,-0.14196726768741613,0.003729758828905395,1.2147199933692288,1.0457043264817503,0.13450775002960533,0.28020477654592685,54.48717948717948,10.897435897435898,65.38461538461539,73.07692307692307,False,False,False,False,False,False
10Y NOTES,2023-08-15,4857422,3822746,3104442,495210,1242138,430877,402253,27.4,20.9,40.3,31.6,718304,-746928,28624,0.14787761903330615,-0.1537704568390393,0.005892837805733165,1.2313794234197322,1.0711591958294904,0.141984781227573,0.30164807587234543,70.51282051282051,15.384615384615385,44.871794871794876,79.48717948717949,False,False,False,False,False,False
10Y NOTES,2023-08-22,4911177,3818450,3160555,525061,1219936,446938,409958,27.4,20.2,39.5,30.8,657895,-694875,36980,0.13395872313296792,-0.1414884863648775,0.007529763231909581,1.2081580608469082,1.0902043623980993,0.12642895990105835,0.2754472094978454,46.794871794871796,19.871794871794872,66.66666666666666,58.97435897435898,False,False,False,False,False,False
10Y NOTES,2023-08-29,4825244,3838405,3074216,425423,1230976,446977,405613,28.0,20.3,40.9,31.6,764189,-805553,41364,0.1583731309753455,-0.16694554720963334,0.008572416234287842,1.2485801257946743,1.10197897996366,0.14980071474105766,0.32531867818497884,81.41025641025641,25.0,26.923076923076923,87.82051282051282,False,False,False,False,False,False
10Y NOTES,2023-09-05,4718782,3738091,2967406,454880,1246415,416866,396016,28.1,19.4,40.8,31.5,770685,-791535,20850,0.16332286594294884,-0.1677413790253502,0.0044185130824013485,1.2597167357618069,1.052649387903519,0.1589043528605475,0.331064244968299,85.25641025641025,12.179487179487179,26.282051282051285,92.94871794871796,False,False,False,False,True,False
10Y NOTES,2023-09-12,4681032,3712430,2992220,467114,1211416,404705,380613,28.3,20.4,40.9,32.3,720210,-744302,24092,0.15385709817835042,-0.15900382650663358,0.005146728328283165,1.2406942002927592,1.0632978905082064,0.14871036985006725,0.312860924684984,74.35897435897436,14.102564102564102,34.61538461538461,86.53846153846155,False,False,False,False,False,False
10Y NOTES,2023-09-19,4697157,3690498,3031128,489853,1192169,417596,374650,28.1,20.9,40.5,33.3,659370,-702316,42946,0.1403764021513439,-0.14951937948848634,0.009142977337142446,1.217532878849062,1.1146296543440544,0.13123342481420144,0.2898957816398302,60.256410256410255,27.564102564102566,57.05128205128205,67.3076923076923,False,False,False,False,False,False
10Y NOTES,2023-09-26,4767698,3724693,3045050,509578,1241576,434390,382035,28.1,20.8,39.1,32.9,679643,-731998,52355,0.14255160456891355,-0.1535327950721711,0.010981190503257547,1.223196006633717,1.137042417579541,0.131570414065656,0.2960843996410847,64.1025641025641,36.53846153846153,45.51282051282051,69.87179487179486,False,False,False,False,False,False
10Y NOTES,2023-10-03,4782725,3728771,3060290,492060,1225941,440265,374865,27.6,20.6,38.6,32.0,668481,-733881,65400,0.13976990105013357,-0.15344411397268293,0.013674212922549384,1.2184371415780857,1.1744628066103797,0.12609568812758418,0.2932140150228165,58.333333333333336,48.07692307692308,46.15384615384615,57.692307692307686,False,False,False,False,False,False
10Y NOTES,2023-10-10,4745314,3725527,3055896,480914,1193896,435537,392186,26.8,21.4,38.2,31.6,669631,-712982,43351,0.14111416020098985,-0.15024969896618012,0.009135538765190248,1.2191275488432853,1.1105368371130024,0.1319786214357996,0.29136385916717,61.53846153846154,26.923076923076923,56.41025641025641,70.51282051282051,False,False,False,False,False,False
10Y NOTES,2023-10-17,4670993,3621671,3007629,489078,1199818,453198,356500,25.5,21.2,36.9,31.3,614042,-710740,96698,0.13145855709910076,-0.15216036504443486,0.02070180794533411,1.204161484012822,1.2712426367461431,0.11075674915376665,0.2836189221435356,41.02564102564102,69.23076923076923,51.92307692307693,33.97435897435898,False,False,False,False,False,False
10Y NOTES,2023-10-24,4626649,3562693,3095692,542324,1105686,438802,342441,25.3,22.4,36.7,32.2,467001,-563362,96361,0.10093720098498936,-0.1217645859886929,0.020827385003703545,1.1508551238301485,1.2813944591915103,0.08010981598128582,0.22270178697368226,10.897435897435898,69.87179487179486,87.82051282051282,9.615384615384617,False,False,False,False,False,True
10Y NOTES,2023-10-31,4691536,3568418,3036471,572295,1199993,461152,365401,24.8,21.8,36.2,31.6,531947,-627698,95751,0.11338440118545398,-0.1337937084997323,0.02040930731427831,1.1751859312998543,1.2620436178335581,0.09297509387117567,0.24717810968518628,17.94871794871795,68.58974358974359,73.07692307692307,16.666666666666664,False,False,False,False,False,False
